proper;ra;dec;pmra;pmdec
Sol;0.000000;0.000000;0.00;0.00
Alpheratz;0.139791;29.090432;135.68;-162.95
Caph;0.152887;59.149780;523.39;-180.42
Algenib;0.220598;15.183596;4.1970;-8.24
Ankaa;0.438056;-42.305981;232.76;-353.64
Shedir;0.675116;56.537331;50.36;-32.17
Diphda;0.726490;-17.986605;232.79;32.71
96 G. Psc;0.806382;5.280615;758.04;-1141.22
Van Maanen's Star;0.819416;5.388610;1233.05;-2710.56
Cih;0.945143;60.716740;25.65;-3.82
Mirach;1.162194;35.620558;175.59;-112.23
Ruchbah;1.430216;60.235283;297.24;-49.49
Achernar;1.628556;-57.236757;88.02;-40.08
Sheratan;1.910668;20.808035;96.32;-108.80
Almaak;2.064984;42.329725;43.08;-50.85
Hamal;2.119555;23.462423;190.73;-145.77
Mira;2.322442;-2.977643;10.1933;-239.48
Polaris;2.529750;89.264109;44.22;-11.74
268 G. Cet;2.601357;6.886870;1806.27;1442.50
Acamar;2.971023;-40.304672;-53.53;25.71
Menkar;3.037992;4.089734;-11.81;-78.76
Algol;3.136148;40.955648;2.1939;-1.44
82 G. Eri;3.331944;-43.069784;3038.08;726.34
Mirphak;3.405378;49.861180;11.2019;-26.01
Alcyone;3.791410;24.105137;19.35;-43.11
Zaurak;3.967157;-13.508515;60.51;-111.34
Aldebaran;4.598677;16.509301;62.78;-189.36
Hassaleh;4.949894;33.166090;3.1963;-18.54
Cursa;5.130829;-5.086446;-83.39;-75.44
Kapteyn's Star;5.194169;-45.018417;6506.05;-5731.39
Rigel;5.242298;-8.201640;1.1987;-0.56
Capella;5.278150;45.997991;75.52;-427.13
Bellatrix;5.418851;6.349702;-8.75;-13.28
Alnath;5.438198;28.607450;23.28;-174.22
Nihal;5.470756;-20.759441;-5.03;-85.92
Mintaka;5.533445;-0.299092;1.1967;0.56
Arneb;5.545504;-17.822289;3.2027;1.1954
Hatsya;5.590551;-5.909901;2.2027;-0.62
Alnilam;5.603559;-1.201920;1.1949;-1.06
Phakt;5.660817;-34.074108;-0.10;-24.05
Alnitak;5.679313;-1.942572;3.1999;2.1954
Saiph;5.795941;-9.669605;1.1955;-1.20
Betelgeuse;5.919529;7.407063;27.33;10.1986
Menkalinan;5.992149;44.947433;-56.41;-0.88
Red Rectangle;6.332838;-10.637414;-10.98;-21.10
Mirzam;6.378329;-17.955918;-3.45;-0.47
Canopus;6.399195;-52.695660;19.99;23.67
Alhena;6.628528;16.399252;-2.04;-66.92
Sirius;6.752481;-16.716116;-546.01;-1223.08
Adhara;6.977097;-28.972084;2.1963;2.2029
