proper;ra;dec;dist
Sol;0.000000;0.000000;0.0000
Alpheratz;0.139791;29.090432;29.7442
Caph;0.152887;59.149780;16.7842
Algenib;0.220598;15.183596;120.0480
Ankaa;0.438056;-42.305981;25.9740
Shedir;0.675116;56.537331;69.9790
Diphda;0.726490;-17.986605;29.5334
96 G. Psc;0.806382;5.280615;7.4549
Van Maanen's Star;0.819416;5.388610;4.2626
Cih;0.945143;60.716740;168.3502
Mirach;1.162194;35.620558;60.5327
Ruchbah;1.430216;60.235283;30.4785
Achernar;1.628556;-57.236757;42.7533
Sheratan;1.910668;20.808035;17.9856
Almaak;2.064984;42.329725;120.4819
Hamal;2.119555;23.462423;20.1776
Mira;2.322442;-2.977643;91.6590
Polaris;2.529750;89.264109;132.6260
268 G. Cet;2.601357;6.886870;7.1803
Acamar;2.971023;-40.304672;49.4315
Menkar;3.037992;4.089734;76.3942
Algol;3.136148;40.955648;27.5710
82 G. Eri;3.331944;-43.069784;6.0434
Mirphak;3.405378;49.861180;155.2795
Alcyone;3.791410;24.105137;123.6094
Zaurak;3.967157;-13.508515;62.3441
Aldebaran;4.598677;16.509301;20.4332
Hassaleh;4.949894;33.166090;151.2859
Cursa;5.130829;-5.086446;27.3973
Kapteyn's Star;5.194169;-45.018417;3.9114
Rigel;5.242298;-8.201640;264.5503
Capella;5.278150;45.997991;13.1234
Bellatrix;5.418851;6.349702;77.3994
Alnath;5.438198;28.607450;41.0509
Nihal;5.470756;-20.759441;49.1642
Mintaka;5.533445;-0.299092;212.3142
Arneb;5.545504;-17.822289;680.2721
Hatsya;5.590551;-5.909901;714.2857
Alnilam;5.603559;-1.201920;606.0606
Phakt;5.660817;-34.074108;80.1282
Alnitak;5.679313;-1.942572;225.7336
Saiph;5.795941;-9.669605;198.4127
Betelgeuse;5.919529;7.407063;152.6718
Menkalinan;5.992149;44.947433;24.8694
Red Rectangle;6.332838;-10.637414;440.5286
Mirzam;6.378329;-17.955918;151.0574
Canopus;6.399195;-52.695660;94.7867
Alhena;6.628528;16.399252;33.5121
Sirius;6.752481;-16.716116;2.6371
Adhara;6.977097;-28.972084;124.2236
Wezen;7.139857;-26.393200;492.6108
Aludra;7.401584;-29.303104;609.7561
Gomeisa;7.452512;8.289315;49.5786
Luyten's Star;7.456805;5.225785;3.8026
Castor;7.576634;31.888276;15.5958
Procyon;7.655033;5.224993;3.5142
Pollux;7.755277;28.026199;10.3584
Naos;8.059737;-40.003148;332.2259
Avior;8.375236;-59.509483;185.5288
Miaplacidus;9.220041;-69.717208;34.6981
Tureis;9.284838;-59.275229;234.7418
Alphard;9.459790;-8.658603;55.2792
Ras Elased Australis;9.764188;23.774255;75.6430
Regulus;10.139532;11.967207;24.3132
Algieba;10.332873;19.841489;39.8883
Merak;11.030677;56.382427;24.4499
Lalande 21185;11.055632;35.969877;2.5469
Dubhe;11.062155;61.751033;37.6790
Zosma;11.235138;20.523717;17.9147
Denebola;11.817663;14.572060;10.9999
Groombridge 1830;11.882820;37.718679;9.0917
Phad;11.897168;53.694760;25.5037
Megrez;12.257086;57.032617;24.6853
Gienah Ghurab;12.263437;-17.541929;47.1032
Acrux;12.443311;-63.099092;98.7167
3C 273;12.485193;2.052398;100000.0000
Algorab;12.497739;-16.515432;26.6312
Gacrux;12.519429;-57.113212;27.1518
Kraz;12.573121;-23.396759;44.6628
Porrima;12.694345;-1.449375;11.6850
Becrux;12.795359;-59.688764;85.3971
Alioth;12.900472;55.959821;25.3100
Cor Caroli;12.933807;38.318380;35.1989
Vindemiatrix;13.036278;10.959150;33.6022
Mizar;13.398747;54.925362;26.3089
Spica;13.419883;-11.161322;76.5697
Alcor;13.420413;54.987958;25.0564
Alkaid;13.792354;49.313265;31.8674
Mufrid;13.911411;18.397717;11.3960
Hadar;14.063729;-60.373039;120.1923
Thuban;14.073165;64.375850;92.9368
Menkent;14.111395;-36.369954;18.0343
Arcturus;14.261030;19.182410;11.2575
Proxima Centauri;14.495985;-62.679485;1.2959
Rigil Kentaurus;14.660765;-60.833976;1.3248
Izar;14.749784;27.074222;62.1118
Kochab;14.845105;74.155505;40.1445
Zubenelgenubi;14.847977;-16.041778;23.2396
Zubeneschemali;15.283449;-9.382917;56.7537
Alphekka;15.578128;26.714693;23.0097
Unukalhai;15.737798;6.425627;22.6757
Dschubba;16.005557;-22.621710;150.6024
Graffias;16.090620;-19.805453;123.9157
Antares;16.490128;-26.432002;169.7793
Kornephoros;16.503668;21.489613;42.6621
Atria;16.811077;-69.027715;119.7605
Rasalgethi;17.244127;14.390333;110.2536
Rastaban;17.507213;52.301387;116.5501
Shaula;17.560145;-37.103821;175.1313
Rasalhague;17.582241;12.560035;14.8965
Sargas;17.621980;-42.997824;92.0810
Cebalrai;17.724543;4.567303;25.0941
Etamin;17.943437;51.488895;47.3037
Barnard's Star;17.963472;4.693388;1.8238
Nash;18.096803;-30.424091;29.7000
Kaus Meridionalis;18.349900;-29.828103;106.6098
Kaus Australis;18.402868;-34.384616;43.9367
Kaus Borealis;18.466179;-25.421700;23.9693
Vega;18.615640;38.783692;7.6787
Sheliak;18.834665;33.362667;294.9853
Nunki;18.921090;-26.296722;69.8324
Albaldah;19.162731;-21.023615;156.2500
Albireo;19.512023;27.959681;133.1558
Campbell's Hydrogen Star;19.579231;30.516371;100000.0000
Tarazed;19.770994;10.613261;121.0654
Altair;19.846388;8.868322;5.1295
Alshain;19.921887;6.406763;13.6986
Cygnus X-1;19.972688;35.201604;595.2381
Sadr;20.370473;40.256679;561.7978
Peacock;20.427459;-56.735090;54.8246
Deneb;20.690532;45.280338;432.9004
Gienah;20.770178;33.970256;22.2916
Lacaille 8760;21.287725;-38.867362;3.9462
Alderamin;21.309630;62.585573;15.0376
Sadalsuud;21.525982;-5.571172;164.7446
Enif;21.736433;9.875011;211.4165
Sadalmelik;22.096399;-0.319851;160.5136
Alnair;22.137209;-46.960975;30.9693
Kruger 60;22.466642;57.695875;4.0010
Matar;22.716704;30.221245;65.7030
Babcock's star;22.735418;55.589226;100000.0000
Fomalhaut;22.960838;-29.622236;7.7036
Scheat;23.062901;28.082789;60.0962
Markab;23.079348;15.205264;40.8831
Lacaille 9352;23.097531;-35.853073;3.2759
p Eridani;1.663003;-56.194620;8.1466
